zapoteco,español,categoria,audio
cabsilas,esta descansando ,palabra,cabsilas.mp3
cachuch,gorra,articulo,cachuch.mp3
cacua,estoy echando,frase,cacua.mp3
cacuán,esta echando,frase,ca_cuán.mp3
cacuan get,esta echando tortillas,frase,ca_cuan_get.mp3
ca yab niz gie,esta lloviendo,frase,ca_yab_niz_gie.mp3
cayai,se esta cociendo,palabra,cayai.mp3
café,café ,bebida,café.mp3
cain gib,venir armado,frase,cain_gib.mp3
cald,caldo,comida,cald.mp3
cald gun,caldo de res,comida,cald_gun.mp3
cald bud',caldo de pollo,comida,cald_bud'.mp3
cald llil,caldo de borrego,comida,cald_llil.mp3
cali,adonde,palabra,cali.mp3
Cali bsedu dizá,¿Dónde aprendiste Zapoteco?,frase,bsedu_.mp3
cali chon,adonde vamos?,frase,cali_chon.mp3
cali chu,adonde vas?,frase,cali_chu.mp3
cali gu,adonde fuieste? ( en pasado),frase,cali_gu.mp3
cali  isuban,donde lo pongo?,frase,cali-_i-suban.mp3
cali subgo,adonde estas sentado(a)?,frase,cali_subgo.mp3
cali gai hu,adonde se va hacer',frase,cali-gai-hu.mp3
cali gak,adonde va aser?,frase,cali-gak.mp3
cali rvesu,adonde vives?,frase,cali-rvesu.mp3
cali sein,adonde se fue?,frase,cali-sein.mp3
cali ui,adonde fuiste? (presente),frase,cali-ui.mp3
canél,canela,palabra,canel.mp3
casilasa,estoy descansando,frase,casilasa.mp3
cayó,comiendo,palabra,cayo.mp3
cha get,una tortilla,alimento,cha_get.mp3
chahulam,continuar ,frase,cha-_hulam.mp3
chaquinia tiboc cub,voy a tomar un poco de tejate,frase,chaquinia-.mp3
chaá,ire,palabra,chaá.mp3
chagursh,,animal,chagursh.mp3
chan daquiu,vas a sembra,frase,chan_daquiu.mp3
chaniu eh,lo vas a llevar?,frase,chaniu_eh.mp3
chap,muchacha (chamaca),palabra,chap.mp3
chape,chamaquita (niña),palabra,chape.mp3
chay,despacio,palabra,chay.mp3
che,ir,palabra,che.mp3
chel,esposa (o),palabra,chel.mp3
chib,chivo,animal,chib.mp3
chocan yus,vamos a traer arena,frase,chocan_yush.mp3
cho can zé,vamos a traer elotes,frase,cho_can_ze.mp3
cho siac ni disak,vamos a dar las gracias,frase,cho_siac.mp3
chon,tres,numero,chon.mp3
chonn,vamos ,palabra,chonn.mp3
chu,ir,palabra,chu.mp3
cu bash,tejate de tepache,bebida,cu-bash.mp3
cu biat,tejate  blanco,bebida,cu-biat.mp3
cu nu,endonde estas?,frase,cu_nu.mp3
cuai,madrugada,palabra,cuai.mp3
cuan,alfalfa,hierva,cuan.mp3
cuania,chepil,verdura,cuania.mp3
cub,"tejate, masa",bebida,cub.mp3
cub sie,tejate de cacao,bebida,cubsie.mp3
cuch,cerdo,animal,cuch.mp3
cuch bez,tlacuache,animal,cuch_bez.mp3
cuch nis,cochinilla,animal,cuch_nis.mp3
cue,a mi lado,palabra,cue.mp3
cue  tush,al costado,palabra,cue__tush.mp3
cue danush,al lado del cerro danush,frase,cuedanush.mp3
cuel bols,coco de totomozle,palabra,cuel_bols.mp3
cumin,comino,alimento,cumin.mp3
cun shinganu,donde esta tu hijo?,frase,cun_shinganu.mp3
cuntis carrun ni,conque estaba corriendo,frase,cun_tis.mp3
cun bsanu,donde esta tu hermano?,frase,cun_bsanu.mp3
cu nii,donde esta?,frase,cu-ni.mp3
