zapoteco,español,categoria,audio
rnitia,perderse,palabra,rnitia.mp3
ró,grande,palabra,ro.mp3
rquin,necesitar,palabra,rquin.mp3
rrub,maiz,alimento,rub.mp3
rrub dela,maiz picado,producto,rub_de_la.mp3
rrun,correr,palabra,rrun.mp3
rsaclass,estar contento,frase,rsaclass.mp3
rsan,dejar,palabra,rsan.mp3
rsed,aprender,palabra,rsed.mp3
rshte nuh,nuestro,palabra,rshtenu.mp3
rshten',de nosostros,frase,rshten.mp3
rshun,trabajo,palabra,rshun.mp3
rsil,temprano,palabra,rsil.mp3
rsi las,descansa,palabra,rsi-las.mp3
rsis,debel,palabra,rsis.mp3
rsnan,mamá,palabra,rsnan.mp3
rstad,papá,palabra,rstad.mp3
rsu biub,adormecer,frase,rsu_biub.mp3
rtes,brincar,palabra,rtes.mp3
ru,boca,parte del cuerpo,ru.mp3
rrub gin,salsa,comida,rub_gin.mp3
rrubgin yaz,guacamole,comida,rubgin_yaz.mp3
ruc  si,aquí nomas,frase,ruc--si.mp3
rul,tocar (instrumento),palabra,rul.mp3
rulgel,media noche,frase,rul_gel.mp3
rumbe, loconozco (conocer),palabra,rumbe.mp3
run,sangre,palabra,run.mp3
runa gan,lo que gano (ganar),frase,runa_gan.mp3
runbio lan,la  o lo conoces,frase,runbio_lan.mp3
runbiu ,lo conoces (conocer),frase,runbiu_.mp3
ruúl,mitad,palabra,rul.mp3
rvest yubtu,estar,palabra,rvest_yubtu.mp3
rzieni,"sentir (el ,ella)",palabra,rzieni.mp3
rzienia,siento (yo),palabra,rzienia.mp3
sacru,bonito,palabra,sa_cru.mp3
sack lailli,buenas tardes (medio dia),frase,sack_lailli.mp3
sack shin,buenas noches,frase,sack_shin.mp3
sack ulli,buenas tardes (medio dia),frase,sack_ulli.mp3
sackr sil ,buenos dias,frase,sack_rsil_.mp3
sak rsil lo irate yubtu,buenos dias atodos,frase,rsil_lo_rate.mp3
sale he,se puede?,frase,sale-he.mp3
sarcasu,como quieres,frase,sar-casu.mp3
scan,banca,palabra,scan.mp3
sdie,sandia,frutas,sdie.mp3
sed,sal,alimento,sed.mp3
sed no ah,eres chingon,frase,sed_no_ah.mp3
sek no,asi eres,frase,sek_no.mp3
sek rilua,asi me parece,frase,sek_rilua.mp3
sek gaki,asi se hara,frase,sek-gaki.mp3
sek this iniu,como digas,frase,sek-this_iniu.mp3
sek tis,asi nomas,frase,sek-tis.mp3
sek tis nir casu,como querias,frase,sek-tis-nir-casu.mp3
sey nam,asi es,frase,sey_nam.mp3
sha ga ki,como se le va hacer,frase,sha-ga-ki.mp3
she,porque ,palabra,she.mp3
she no sec,porque eres asi,frase,she_no_sec.mp3
shgab,pensar,palabra,shgab.mp3
shi,que,palabra,shi.mp3
shi ca yu nu,que estan haciendo,frase,shi_ca_yu_nu.mp3
shi cos canie,que estoy diciendo,frase,shi_cos_canie.mp3
shi cos go,que cosa vas a comer,frase,shi_cos_go.mp3
shi cos nain,que tiene (estado fisico),frase,shi_cos_nain.mp3
shi cuens,por qué tanto,palabra,shi_cuens.mp3
shi cuens runu shgab,porque tanto piensas,frase,cuens_runu.mp3
shi gabil,que chingados ,frase,shi_gabil.mp3
shi go,que vas a comer,frase,shi_go.mp3
shi na ni banu,que fue lo que hiciste,frase,shi_na_ni_banu.mp3
shi nain,que dice,frase,shi_nain.mp3
shi nie,porque,frase,shi_nie.mp3
shi nie runu sec,porque haces asi,frase,shi_nie_runu_sec.mp3
shi ri lo,que te crees,frase,shi_rilo.mp3
shi runa,que ago,frase,shi_runa.mp3
shi sacru runi,que bonito hace,frase,shi_sacru_runi.mp3
llib,rodilla,parte del cuerpo,shib.mp3
shi banu,que hiciste?,frase,shi-banu.mp3
shicos canin,que esta diciendo?,frase,shicos_canin.mp3
shií,nariz,parte del cuerpo,shii.mp3
sllíl,borrego,animal,shíl.mp3
shin gana,hijo,palabra,shin_gana.mp3
shin chapa,hija,palabra,shin_chapa.mp3
shinia,"hijo, hija.",palabra,shinia.mp3
shinia nain,es mi hijo,frase,shinia_nain.mp3
shiniu  nain he,es tu hijo?,frase,shiniu_nain_he.mp3
shir casu,que quieres?,frase,shir_casu.mp3
shir nesh,ni cuando,frase,shir_rnez.mp3
shisr rgab runu,que pienzas,frase,shisr_rgab_runu.mp3
shis tuve,cual otro,frase,shis_tuv.mp3
shkit run,chupa_rosa,animal,shkit_run.mp3
shlat,lugar,palabra,shlat.mp3
shnia,rojo,color,shnia.mp3
shnia run,rojo fuerte (oscuro),color,shnia_run.mp3
shra nuh dein nesku,como estan por hay,frase,nu_dein_nesk.mp3
shra yu iviu,como esta usted,frase,shra_yu_iviu.mp3
shron,ocho,numero,shron.mp3
shrop,seis,numero,shrop.mp3
shtios yubtu,gracias a ustedes,frase,shtios_yubtu.mp3
rshun,trabajo,palabra,shun.mp3
sigues,cegesa,comida,si_gues.mp3
si sicti,que cantidad,frase,si_sicti.mp3
siab,atole,bebida,siab.mp3
siab guez,chocolate atole,bebida,siab_guez.mp3
siop nu  ti mandan,venimos un mandado,frase,ti_madad.mp3
sit,lejos,palabra,sit.mp3
siul,largo,palabra,siul.mp3
srhuc,honbro,parte del cuerpo,srhuc.mp3
stena nain,es mio,palabra,stena-nain.mp3
stiash,ajo,verdura,stiash.mp3
stios liu,gracias ati,frase,stios_liu.mp3
stios,gracias,palabra,stioz.mp3
stios dios,gracias a dios,frase,stioz_dios.mp3
stios lat,gracias a ustedes,frase,stioz_lat.mp3
stios lat van ti buen,gracias austedes que hicieron un favor,frase,stioz_buen.mp3
stios liu vedu,gracias a ti que veniste,frase,stioz_liu_vedu.mp3
suchun,arreglar,palabra,su_chun.mp3
subgan,sentarse,palabra,sub_gan.mp3
susaá,estar habierto,frase,su_saa.mp3
suth,hueso,parte del cuerpo,suth.mp3
sutip,ponerse fuerte,frase,su_tip.mp3
tap,cuatro,numero,tap.mp3
tassh,dormir,palabra,tassh.mp3
te cut irnit nuh,para que no se pierda,frase,irnit_.mp3
tegna,mi mano,frase,teg_naa.mp3
teru isunia ruy,apenas voy a llegar ahí,frase,teru_isunia_ruy.mp3
ti gayua,un ciento,frase,ti_gayua.mp3
tiaa,epasote,verdura,tiaa.mp3
tib  nda gun,un lado del toro (un toro),animal,tib__nda_gun.mp3
tib nez gun,un ayunta (un par de toros),frase,tib_nez_gun.mp3
tib rsgab,un pensamiento ,frase,tib_srgab.mp3
ti bich,poquito,palabra,ti-bich.mp3
tiemp bzi,sequia,palabra,tiemp_bzi.mp3
tin gib,tina de fierro,frase,tin_gib.mp3
tiop,dos,numero,tiop.mp3
tios ibiu,gracias a ti,frase,tios_ibiu.mp3
tios yubtu ka nib tib disak,"gracias a ustede, que tienen voluntad.",frase,tib_disak.mp3
tiua,cuarenta,numero,tiua.mp3
tiush guish,miltomate,frase,tiush_guish.mp3
tiush las,tomate silvestre,frase,tiush-las.mp3
to gut',quién se murió,frase,to_gut_i.mp3
togul,difunto ,frase,to-gul.mp3
tu,quien,palabra,tu.mp3
tu bani,quien lo hizo,frase,tu_bani.mp3
tu che,quien va a ir?,frase,tu_che.mp3
tu loo,como te llamas?,frase,tu_loo.mp3
tu na srhnanu,qui es tu mamá?,frase,tu_na_srhnanu.mp3
tu na srhtadu,quie es tu papá?,frase,tu_na_srhtadu.mp3
tu par nain,para quien es?,frase,tu_par_nain.mp3
tu shin racu,hijo de quien eres?,frase,tu_shin_racu.mp3
tu shin nain,hijo de quien es?,frase,tu_shin_nain.mp3
tub,uno ,numero,tub.mp3
tu brein,a quien se pacere?,frase,tu_brein.mp3
tu nabi,quien lo pidio?,frase,tu_nabi.mp3
turs srhteni,de quien es?,frase,tursh_srhteni.mp3
tush,pecho,parte del cuwerpo,tush.mp3
ubcadiag,escuchá ,palabra,ub_kadiag.mp3
ubdi,hormiga ,animal,ub_di.mp3
ubdua,plátano,frutas,ub_dua.mp3
ubgal,cuánto?,frase,ub_gal.mp3
ubgie,fijate,palabra,ub_gie.mp3
ubguch,cuajilote,fruto,ub_guch.mp3
ubkid,mariposa,animal,ub_kid.mp3
ubkin,come,palbra,ub_kin.mp3
ubrrun,corre,palabra,ub_rrun.mp3
ubshell,encontrar,palabra,ub_shell.mp3
ubdo vez,bebé ,persona,ubdo_vez.mp3
ubstul ,desruir ( deshacer ),frase,ubstul.mp3
ubtas,duermete,frase,ubtas.mp3
udes nare,abrazame,frase,ubdes_nare.mp3
ukit,jugar,palabra,ukit.mp3
ulas,quintoniles,comida,ulas.mp3
ules nare,esperame,palabra,ules_nare.mp3
nú,hay,palabra,nu.mp3
una yaz,mujer morena,frase,una_yaz.mp3
uni,habla,palabra,uni.mp3
uni  nare,hablame,palabra,uni_nare.mp3
uni tub,di uno,frase,uni_tub.mp3
unia lo valgi,mire las estrellas,frase,unia_lo_valgi.mp3
usha,luz,palabra,usha.mp3
usrhard',chapulin,animal,usrhard.mp3
uyash,caro,palabra,uyash.mp3
vag,vaca,animal,vag.mp3
val gi,estrella,palabra,val_gi.mp3
vi,aire,palabra,vi.mp3
vidun,remolino,palabra,vi_dun.mp3
wenesrre,vete por ahí,frase,we_nes_rre.mp3
went,fueron,palabra,wet_he.mp3
wil,renacuajo(wilas),animal,wil.mp3
wve,escoba,palabra,wve.mp3
isubgan lo scan,nos sentaremos en el banquito,frase,lo_scan.mp3
isuslon,vamos a empezar,palabra,y_suslon.mp3
yabá,cielo,palabra,yaba.mp3
yag,arbol (leña),palabra,yag.mp3
ya wish,nombre dado en dizá a macuil ,palabra,yag_wish.mp3
yaz,aguacate,verdura,yaz.mp3
yu,casa,palabra,yu.mp3
yu doo,iglesia,lugar,yu_doo.mp3
yu ni rian,tierra de trabajo,palabra,yu_rian.mp3
yu yul,tierra suelta,palabra,yu_yul.mp3
yu yush,tierra arenosa,palabra,yu_yush.mp3
yug,yugo,herramienta de trabajo ,yug.mp3
yush,arena,material,yush.mp3
yzie,comprare,frase,yzie.mp3
zaá,manteca,alimento,zaá.mp3
zanahor,zanahoria ,verdura,zanahor.mp3
zee,elote,producto,zee.mp3
zes,verdolaga,verdura,zes.mp3
zhonn,quince,numero,zhonn.mp3
zhra iu,como estas?,frase,zhra_iu.mp3
zhu,diez,numero,zhu.mp3
zhu da,catorce,numero,zhu_da.mp3
zhun chon,diez y ocho,numero,zhun-chon.mp3
zhunn,trece,numero,zhunn.mp3
zhun tap,diez y nueve,numero,zhun-tap.mp3
zhun tiop,diez y siete,numero,zhun-tiop.mp3
zhun tub,dies y seis,numero,zhun-tub.mp3
zhu tiop,doce,numero,zhub-tiop.mp3
zhu tub,once,numero,zhub-tub.mp3
zuslom,empezar,palabra,zuslom.mp3
zut bud',huevo,producto,zut_bud'.mp3
ringin,piedra de moler àra el molcajete (juajolote),palabra,rin_gin.mp3
nushi nare,damelo,palabra,nushi_nare.mp3
dizá,zapoteco,palabra,dizá.mp3
